lati,long,etopm,etoiv,etohs,municipios
-10.1689,-48.3317,5.77,11.27,5.31,Palmas
-12.6162,-47.8836,4.27,7.85,5.81,Parana
-12.0262,-48.5396,4.84,8.52,5.55,Peixe
-11.7249,-49.076,4.74,7.51,5.82,Gurupi
-8.9715,-48.1754,4.56,7.63,6.01,Pedro_afonso
-7.19207,-48.2078,4.49,6.53,5.96,Araguaina
-11.6281,-46.8214,5.93,9.36,4.60,Dianopolis
-11.7957,-49.5311,5.67,10.19,5.59,Formoso_do_araguaia
-10.5464,-46.4168,5.81,8.20,5.17,Mateiros
-9.79377,-49.6553,4.89,7.23,6.10,Marianopolis_do_to
-5.65615,-48.1189,4.84,7.86,5.68,Araguatins
