lati,long,etopm,etoiv,etohs,municipios
-10.1689,-48.3317,4.90,9.08,4.67,Palmas
-12.6162,-47.8836,3.72,6.22,4.92,Parana
-12.0262,-48.5396,4.04,6.64,4.84,Peixe
-11.7249,-49.076,4.09,5.78,4.99,Gurupi
-8.9715,-48.1754,4.07,6.19,5.26,Pedro_afonso
-7.19207,-48.2078,4.11,5.41,5.37,Araguaina
-11.6281,-46.8214,5.36,8.11,3.98,Dianopolis
-11.7957,-49.5311,4.74,8.06,4.77,Formoso_do_araguaia
-10.5464,-46.4168,5.01,6.69,4.42,Mateiros
-9.79377,-49.6553,4.27,6.05,5.20,Marianopolis_do_to
-5.65615,-48.1189,4.35,6.50,5.05,Araguatins
