,lati,long,etopm,etoiv,etohs,municipios
0,-10.1689,-48.3317,4.28,7.41,4.43,Palmas
1,-12.6162,-47.8836,3.59,5.29,4.56,Parana
2,-12.0262,-48.5396,3.75,5.56,4.41,Peixe
3,-11.7249,-49.076,3.84,4.77,4.58,Gurupi
4,-8.9715,-48.1754,3.80,4.91,4.77,Pedro_afonso
5,-7.19207,-48.2078,3.92,3.96,4.71,Araguaina
6,-11.6281,-46.8214,4.80,6.96,3.73,Dianopolis
7,-11.7957,-49.5311,4.19,6.28,4.49,Formoso_do_araguaia
8,-10.5464,-46.4168,4.56,5.95,4.24,Mateiros
9,-9.79377,-49.6553,4.00,5.64,4.96,Marianopolis_do_to
10,-5.65615,-48.1189,3.99,5.04,4.61,Araguatins
