lati,long,etopm,etoiv,etohs,municipios
-10.1689,-48.3317,3.75,5.83,4.59,Palmas
-12.6162,-47.8836,3.78,4.78,4.53,Parana
-12.0262,-48.5396,3.88,5.01,4.54,Peixe
-11.7249,-49.076,3.92,4.22,4.52,Gurupi
-8.9715,-48.1754,3.78,3.92,4.42,Pedro_afonso
-7.19207,-48.2078,3.75,3.02,4.42,Araguaina
-11.6281,-46.8214,4.43,5.72,3.81,Dianopolis
-11.7957,-49.5311,4.02,4.88,4.43,Formoso_do_araguaia
-10.5464,-46.4168,4.49,5.42,4.34,Mateiros
-9.79377,-49.6553,3.96,5.32,4.82,Marianopolis_do_to
-5.65615,-48.1189,3.79,3.77,4.36,Araguatins
