lati,long,etopm,etoiv,etohs,municipios
-10.1689,-48.3317,3.63,3.77,4.42,Palmas
-12.6162,-47.8836,4.27,3.73,4.68,Parana
-12.0262,-48.5396,4.30,3.32,4.70,Peixe
-11.7249,-49.076,4.14,2.95,4.44,Gurupi
-8.9715,-48.1754,4.10,2.93,4.46,Pedro_afonso
-7.19207,-48.2078,3.62,2.41,4.50,Araguaina
-11.6281,-46.8214,3.93,3.19,4.03,Dianopolis
-11.7957,-49.5311,4.12,3.27,4.53,Formoso_do_araguaia
-10.5464,-46.4168,4.06,3.91,4.74,Mateiros
-9.79377,-49.6553,4.15,4.51,4.40,Marianopolis_do_to
-5.65615,-48.1189,3.87,3.12,4.40,Araguatins
