lati,long,etopm,etoiv,etohs,municipios
-10.1689,-48.3317,5.76,11.14,5.68,palmas
-12.6162,-47.8836,4.88,9.35,6.49,parana
-12.0262,-48.5396,5.22,9.35,6.18,peixe
-11.7249,-49.076,5.08,8.36,6.23,gurupi
-8.9715,-48.1754,4.60,7.82,6.44,pedro_afonso
-7.19207,-48.2078,4.58,6.39,6.26,araguaina
-11.6281,-46.8214,6.44,10.28,5.13,dianopolis
-11.7957,-49.5311,5.69,10.17,6.22,formoso_do_araguaia
-10.5464,-46.4168,6.19,9.40,5.78,mateiros
-9.79377,-49.6553,4.71,6.73,6.43,marianopolis_do_to
-5.65615,-48.1189,4.93,7.54,5.72,araguatins
